Credit Memo Number,Line Number,Reason Code,Product ID,Quantity,U/M,Unit Price,Amount
1380029,6,701010,240106,18,EACH,11.48,206.64
1380029,7,701010,150107,14,EACH,14.66,205.24
1380029,7,701010,200107,9,EACH,14.53,130.77
1380029,7,701010,240107,21,EACH,11.76,246.96
1380029,8,701010,150301,13,EACH,11.32,147.16
1380029,8,701010,200301,8,EACH,11.79,94.32
1380029,8,701010,240201,17,EACH,9.05,153.85
1380029,9,701010,150302,14,EACH,12.20,170.8
1380029,9,701010,200302,10,EACH,12.55,125.5
1380029,9,701010,240202,17,EACH,9.07,154.19
1380029,10,701010,150303,13,EACH,12.71,165.23
1380029,10,701010,200303,10,EACH,12.58,125.8
1380029,10,701010,240203,20,EACH,9.61,192.2
1380029,11,701010,150304,12,EACH,12.81,153.72
1380029,11,701010,200304,9,EACH,13.21,118.89
1380029,11,701010,240204,20,EACH,10.00,200
1380029,12,701010,150305,12,EACH,13.89,166.68
1380029,12,701010,200305,9,EACH,14.58,131.22
1380029,12,701010,240205,17,EACH,10.56,179.52
1380029,13,701010,150306,12,EACH,13.70,164.4
1380029,13,701010,200306,9,EACH,13.78,124.02
1380029,13,701010,240206,20,EACH,10.76,215.2
1380029,14,701010,150307,14,EACH,14.28,199.92
1380029,14,701010,200307,9,EACH,14.09,126.81
1380029,14,701010,240207,19,EACH,11.79,224.01
1380029,15,701010,150401,14,EACH,11.32,158.48
1380029,15,701010,200401,9,EACH,11.51,103.59
1380029,15,701010,240301,18,EACH,8.85,159.3
1380029,16,701010,150402,14,EACH,12.13,169.82
1380029,16,701010,200402,10,EACH,12.56,125.6
1380029,16,701010,240302,20,EACH,9.53,190.6
1380029,17,701010,150403,12,EACH,12.54,150.48
1380029,17,701010,200403,10,EACH,12.77,127.7
1380029,17,701010,240303,20,EACH,9.91,198.2
1380029,18,701010,150404,14,EACH,13.39,187.46
1380029,18,701010,200404,9,EACH,12.91,116.19
1380029,18,701010,240304,19,EACH,10.17,193.23
1380029,19,701010,150405,14,EACH,13.66,191.24
1380029,19,701010,200405,8,EACH,13.32,106.56
1380029,19,701010,240305,21,EACH,10.94,229.74
1380029,20,701010,150406,13,EACH,14.10,183.3
1380029,20,701010,200406,9,EACH,14.70,132.3
1380029,20,701010,240306,19,EACH,11.10,210.9
1380029,21,701010,150407,14,EACH,15.23,213.22
1380029,21,701010,200407,9,EACH,15.17,136.53
1380029,21,701010,240307,18,EACH,11.65,209.7
1380029,22,701010,150501,14,EACH,11.50,161
1380029,22,701010,200501,9,EACH,11.95,107.55
1380029,22,701010,240401,17,EACH,8.74,148.58
1380029,23,701010,150502,14,EACH,11.87,166.18
1380029,23,701010,200502,10,EACH,12.07,120.7
1380029,23,701010,240402,21,EACH,9.32,195.72
1380029,24,701010,150503,13,EACH,12.53,162.89
1380029,24,701010,200503,9,EACH,12.97,116.73
1380029,24,701010,240403,21,EACH,9.75,204.75
1380029,25,701010,150504,13,EACH,12.98,168.74
1380029,25,701010,200504,9,EACH,13.23,119.07
1380029,25,701010,240404,18,EACH,10.27,184.86
1380029,26,701010,150505,12,EACH,14.14,169.68
1380029,26,701010,200505,9,EACH,13.87,124.83
1380029,26,701010,240405,17,EACH,10.76,182.92
1380029,27,701010,150506,13,EACH,15.01,195.13
1380029,27,701010,200506,9,EACH,13.73,123.57
1380029,27,701010,240406,19,EACH,11.30,214.7
1380029,28,701010,150507,12,EACH,14.98,179.76
1380029,28,701010,200507,9,EACH,14.23,128.07
1380029,28,701010,240407,18,EACH,11.49,206.82
1380029,29,701010,240501,20,EACH,8.74,174.8
1380029,30,701010,240502,20,EACH,9.44,188.8
1380029,31,701010,240503,18,EACH,9.84,177.12
1380029,32,701010,240504,20,EACH,10.17,203.4
1380029,33,701010,240505,19,EACH,10.26,194.94
1380029,34,701010,240506,18,EACH,11.37,204.66
1380029,35,701010,240507,17,EACH,11.78,200.26
1291521,1,701010,130101,12,3PACK,10.75,129
1291521,1,701010,190101,10,3PACK,12.81,128.1
1291521,2,701010,130102,11,3PACK,10.96,120.56
1291521,2,701010,190102,9,3PACK,13.81,124.29
1291521,3,701010,130103,11,3PACK,11.38,125.18
1291521,3,701010,190103,10,3PACK,13.71,137.1
1291521,4,701010,130104,13,3PACK,12.31,160.03
1291521,4,701010,190104,9,3PACK,14.72,132.48
1291521,5,701010,130105,11,3PACK,12.27,134.97
1291521,5,701010,190105,9,3PACK,15.16,136.44
1291521,6,701010,130106,12,3PACK,13.57,162.84
1291521,6,701010,190106,10,3PACK,15.72,157.2
1291521,7,701010,130107,12,3PACK,14.02,168.24
1291521,7,701010,190107,10,3PACK,17.48,174.8
1291521,8,701010,130201,11,3PACK,10.57,116.27
1291521,8,701010,190201,10,3PACK,12.94,129.4
1291521,9,701010,130202,12,3PACK,10.84,130.08
1291521,9,701010,190202,9,3PACK,13.21,118.89
1291521,10,701010,130203,10,3PACK,12.08,120.8
1291521,10,701010,190203,9,3PACK,14.53,130.77
1291521,11,701010,130204,11,3PACK,11.93,131.23
1291521,11,701010,190204,9,3PACK,14.71,132.39
1291521,12,701010,130205,12,3PACK,12.49,149.88
1291521,12,701010,190205,9,3PACK,15.17,136.53
1291521,13,701010,130206,12,3PACK,12.62,151.44
1291521,13,701010,190206,10,3PACK,16.49,164.9
1291521,14,701010,130207,13,3PACK,14.33,186.29
1291521,14,701010,190207,10,3PACK,17.59,175.9
1291521,15,701010,130301,12,3PACK,10.84,130.08
1291521,15,701010,190301,9,3PACK,12.85,115.65
1291521,16,701010,130302,12,3PACK,11.11,133.32
1291521,16,701010,190302,9,3PACK,13.38,120.42
1291521,17,701010,130303,11,3PACK,11.59,127.49
1291521,17,701010,190303,9,3PACK,14.40,129.6
1291521,18,701010,130304,11,3PACK,12.07,132.77
1291521,18,701010,190304,10,3PACK,15.13,151.3
1291521,19,701010,130305,12,3PACK,12.65,151.8
1291521,19,701010,190305,10,3PACK,14.86,148.6
1291521,20,701010,130306,12,3PACK,13.71,164.52
1291521,20,701010,190306,9,3PACK,15.79,142.11
1291521,21,701010,130307,12,3PACK,14.32,171.84
1291521,21,701010,190307,9,3PACK,17.10,153.9
1291521,22,701010,130501,12,3PACK,10.70,128.4
1291521,22,701010,190401,9,3PACK,13.07,117.63
1291521,23,701010,130502,11,3PACK,11.35,124.85
1291521,23,701010,190402,9,3PACK,13.96,125.64
1291521,24,701010,130503,11,3PACK,11.73,129.03
1291521,24,701010,190403,9,3PACK,14.22,127.98
1291521,25,701010,130504,12,3PACK,11.85,142.2
1291521,25,701010,190404,10,3PACK,14.99,149.9
1291521,26,701010,130505,12,3PACK,12.94,155.28
1291521,26,701010,190405,10,3PACK,15.32,153.2
1291521,27,701010,130506,12,3PACK,13.40,160.8
1291521,27,701010,190406,9,3PACK,15.74,141.66
1291521,28,701010,130507,12,3PACK,13.50,162
1291521,28,701010,190407,9,3PACK,16.39,147.51
1291521,29,701010,190501,9,3PACK,13.11,117.99
1291521,30,701010,190502,10,3PACK,13.64,136.4
1291521,31,701010,190503,10,3PACK,13.80,138
1291521,32,701010,190504,9,3PACK,14.17,127.53
1291521,33,701010,190505,9,3PACK,15.23,137.07
1291521,34,701010,190506,9,3PACK,16.11,144.99
1291521,35,701010,190507,9,3PACK,16.52,148.68
882032,1,701010,190101,13,3PACK,11.15,144.95
882032,2,701010,190102,14,3PACK,12.17,170.38
882032,3,701010,190103,14,3PACK,12.26,171.64
882032,4,701010,190104,15,3PACK,12.83,192.45
882032,5,701010,190105,14,3PACK,13.21,184.94
882032,6,701010,190106,15,3PACK,13.67,205.05
882032,7,701010,190107,13,3PACK,14.90,193.7
882032,8,701010,190201,14,3PACK,11.48,160.72
882032,9,701010,190202,14,3PACK,11.33,158.62
882032,10,701010,190203,15,3PACK,12.26,183.9
882032,11,701010,190204,15,3PACK,13.01,195.15
882032,12,701010,190205,14,3PACK,13.27,185.78
882032,13,701010,190206,13,3PACK,14.77,192.01
882032,14,701010,190207,16,3PACK,14.74,235.84
882032,15,701010,190301,15,3PACK,11.02,165.3
882032,16,701010,190302,13,3PACK,11.32,147.16
882032,17,701010,190303,15,3PACK,12.49,187.35
882032,18,701010,190304,13,3PACK,12.83,166.79
882032,19,701010,190305,15,3PACK,12.74,191.1
882032,20,701010,190306,14,3PACK,13.99,195.86
882032,21,701010,190307,14,3PACK,14.79,207.06
882032,22,701010,190401,15,3PACK,11.00,165
882032,23,701010,190402,14,3PACK,11.60,162.4
882032,24,701010,190403,15,3PACK,12.66,189.9
882032,25,701010,190404,14,3PACK,12.44,174.16
882032,26,701010,190405,14,3PACK,13.27,185.78
882032,27,701010,190406,15,3PACK,13.39,200.85
882032,28,701010,190407,15,3PACK,14.80,222
882032,29,701010,190501,13,3PACK,11.11,144.43
882032,30,701010,190502,14,3PACK,11.83,165.62
882032,31,701010,190503,13,3PACK,12.33,160.29
882032,32,701010,190504,13,3PACK,12.63,164.19
882032,33,701010,190505,15,3PACK,13.37,200.55
882032,34,701010,190506,14,3PACK,14.13,197.82
882032,35,701010,190507,13,3PACK,14.71,191.23
721501,1,701010,120101,14,EACH,10.40,145.6
721501,1,701010,170101,15,EACH,8.03,120.45
721501,2,701010,120102,14,EACH,10.96,153.44
721501,2,701010,170102,14,EACH,8.63,120.82
721501,3,701010,120103,12,EACH,11.05,132.6
721501,3,701010,170103,15,EACH,9.21,138.15
721501,4,701010,120104,14,EACH,11.19,156.66
721501,4,701010,170104,17,EACH,9.56,162.52
721501,5,701010,120105,13,EACH,12.42,161.46
721501,5,701010,170105,16,EACH,9.70,155.2
721501,6,701010,120106,12,EACH,12.86,154.32
721501,6,701010,170106,14,EACH,10.12,141.68
721501,7,701010,120107,14,EACH,13.46,188.44
721501,7,701010,170107,15,EACH,10.82,162.3
721501,8,701010,120201,13,EACH,10.24,133.12
721501,8,701010,170201,15,EACH,8.09,121.35
721501,9,701010,120202,12,EACH,11.05,132.6
721501,9,701010,170202,16,EACH,8.34,133.44
721501,10,701010,120203,12,EACH,11.11,133.32
721501,10,701010,170203,17,EACH,9.33,158.61
721501,11,701010,120204,12,EACH,12.20,146.4
721501,11,701010,170204,17,EACH,9.68,164.56
721501,12,701010,120205,12,EACH,12.47,149.64
721501,12,701010,170205,16,EACH,9.73,155.68
721501,13,701010,120206,12,EACH,12.25,147
721501,13,701010,170206,16,EACH,10.08,161.28
721501,14,701010,120207,14,EACH,13.48,188.72
721501,14,701010,170207,17,EACH,11.03,187.51
721501,15,701010,120301,14,EACH,10.08,141.12
721501,15,701010,170301,15,EACH,8.09,121.35
721501,16,701010,120302,14,EACH,10.98,153.72
721501,16,701010,170302,15,EACH,8.63,129.45
721501,17,701010,120303,13,EACH,11.45,148.85
721501,17,701010,170303,17,EACH,9.37,159.29
721501,18,701010,120304,12,EACH,11.43,137.16
721501,18,701010,170304,16,EACH,9.36,149.76
721501,19,701010,120305,14,EACH,11.99,167.86
721501,19,701010,170305,15,EACH,9.71,145.65
721501,20,701010,120306,14,EACH,13.35,186.9
721501,20,701010,170306,15,EACH,10.24,153.6
721501,21,701010,120307,13,EACH,12.79,166.27
721501,21,701010,170307,15,EACH,10.74,161.1
721501,22,701010,120401,12,EACH,10.55,126.6
721501,22,701010,170401,17,EACH,8.16,138.72
721501,23,701010,120402,12,EACH,10.92,131.04
721501,23,701010,170402,17,EACH,8.74,148.58
721501,24,701010,120403,12,EACH,10.94,131.28
721501,24,701010,170403,15,EACH,9.42,141.3
721501,25,701010,120404,12,EACH,11.84,142.08
721501,25,701010,170404,16,EACH,9.71,155.36
721501,26,701010,120405,13,EACH,11.93,155.09
721501,26,701010,170405,14,EACH,9.78,136.92
721501,27,701010,120406,14,EACH,13.50,189
721501,27,701010,170406,17,EACH,10.39,176.63
721501,28,701010,120407,15,EACH,13.39,200.85
721501,28,701010,170407,16,EACH,11.14,178.24
721501,29,701010,120501,13,EACH,10.34,134.42
721501,30,701010,120502,12,EACH,10.74,128.88
721501,31,701010,120503,12,EACH,11.16,133.92
721501,32,701010,120504,14,EACH,11.47,160.58
721501,33,701010,120505,13,EACH,12.26,159.38
721501,34,701010,120506,13,EACH,12.17,158.21
721501,35,701010,120507,13,EACH,14.09,183.17
321037,1,701010,130101,7,3PACK,11.66,81.62
321037,1,701010,140101,11,EACH,8.14,89.54
321037,2,701010,130102,7,3PACK,11.86,83.02
321037,2,701010,140102,11,EACH,8.63,94.93
321037,3,701010,130103,7,3PACK,12.42,86.94
321037,3,701010,140103,12,EACH,9.25,111
321037,4,701010,130104,7,3PACK,13.32,93.24
321037,4,701010,140104,12,EACH,9.65,115.8
321037,5,701010,130105,7,3PACK,13.28,92.96
321037,5,701010,140105,11,EACH,9.72,106.92
321037,6,701010,130106,7,3PACK,14.67,102.69
321037,6,701010,140106,13,EACH,10.15,131.95
321037,7,701010,130107,7,3PACK,15.17,106.19
321037,7,701010,140107,13,EACH,10.55,137.15
321037,8,701010,130201,6,3PACK,11.50,69
321037,8,701010,140201,13,EACH,8.11,105.43
321037,9,701010,130202,8,3PACK,11.76,94.08
321037,9,701010,140202,12,EACH,8.65,103.8
321037,10,701010,130203,8,3PACK,13.06,104.48
321037,10,701010,140203,13,EACH,8.83,114.79
321037,11,701010,130204,8,3PACK,12.94,103.52
321037,11,701010,140204,14,EACH,9.04,126.56
321037,12,701010,130205,7,3PACK,13.56,94.92
321037,12,701010,140205,12,EACH,9.97,119.64
321037,13,701010,130206,7,3PACK,13.72,96.04
321037,13,701010,140206,12,EACH,9.91,118.92
321037,14,701010,130207,6,3PACK,15.53,93.18
321037,14,701010,140207,13,EACH,10.45,135.85
321037,15,701010,130301,7,3PACK,11.73,82.11
321037,15,701010,140301,12,EACH,8.05,96.6
321037,16,701010,130302,7,3PACK,12.12,84.84
321037,16,701010,140302,12,EACH,8.78,105.36
321037,17,701010,130303,7,3PACK,12.61,88.27
321037,17,701010,140303,13,EACH,9.10,118.3
321037,18,701010,130304,7,3PACK,13.06,91.42
321037,18,701010,140304,12,EACH,9.74,116.88
321037,19,701010,130305,7,3PACK,13.80,96.6
321037,19,701010,140305,13,EACH,9.93,129.09
321037,20,701010,130306,8,3PACK,14.85,118.8
321037,20,701010,140306,14,EACH,10.31,144.34
321037,21,701010,130307,7,3PACK,15.60,109.2
321037,21,701010,140307,14,EACH,11.02,154.28
321037,22,701010,130501,7,3PACK,11.62,81.34
321037,22,701010,140401,12,EACH,8.26,99.12
321037,23,701010,130502,7,3PACK,12.31,86.17
321037,23,701010,140402,11,EACH,8.70,95.7
321037,24,701010,130503,7,3PACK,12.68,88.76
321037,24,701010,140403,13,EACH,9.03,117.39
321037,25,701010,130504,6,3PACK,12.87,77.22
321037,25,701010,140404,12,EACH,9.54,114.48
321037,26,701010,130505,6,3PACK,14.04,84.24
321037,26,701010,140405,13,EACH,9.56,124.28
321037,27,701010,130506,7,3PACK,14.49,101.43
321037,27,701010,140406,12,EACH,10.67,128.04
321037,28,701010,130507,8,3PACK,14.64,117.12
321037,28,701010,140407,12,EACH,10.81,129.72
321037,29,701010,140501,12,EACH,8.18,98.16
321037,30,701010,140502,13,EACH,8.78,114.14
321037,31,701010,140503,13,EACH,9.25,120.25
321037,32,701010,140504,14,EACH,9.02,126.28
321037,33,701010,140505,13,EACH,9.99,129.87
321037,34,701010,140506,13,EACH,10.05,130.65
321037,35,701010,140507,12,EACH,10.33,123.96
627023,1,701010,140101,24,EACH,6.96,167.04
627023,1,701010,150101,22,EACH,11.08,243.76
627023,2,701010,140102,21,EACH,7.74,162.54
627023,2,701010,150102,19,EACH,11.40,216.6
627023,3,701010,140103,24,EACH,8.12,194.88
627023,3,701010,150103,22,EACH,11.79,259.38
627023,4,701010,140104,23,EACH,8.32,191.36
627023,4,701010,150104,22,EACH,12.48,274.56
627023,5,701010,140105,25,EACH,8.30,207.5
627023,5,701010,150105,18,EACH,13.04,234.72
627023,6,701010,140106,22,EACH,9.06,199.32
627023,6,701010,150106,19,EACH,13.21,250.99
627023,7,701010,140107,23,EACH,9.45,217.35
627023,7,701010,150107,20,EACH,14.15,283
627023,8,701010,140201,25,EACH,7.07,176.75
627023,8,701010,150301,21,EACH,11.04,231.84
627023,9,701010,140202,25,EACH,7.53,188.25
627023,9,701010,150302,21,EACH,11.82,248.22
627023,10,701010,140203,24,EACH,7.89,189.36
627023,10,701010,150303,20,EACH,12.16,243.2
627023,11,701010,140204,24,EACH,8.12,194.88
627023,11,701010,150304,21,EACH,12.05,253.05
627023,12,701010,140205,22,EACH,8.86,194.92
627023,12,701010,150305,19,EACH,13.26,251.94
627023,13,701010,140206,23,EACH,8.51,195.73
627023,13,701010,150306,18,EACH,12.90,232.2
627023,14,701010,140207,24,EACH,9.02,216.48
627023,14,701010,150307,22,EACH,13.70,301.4
627023,15,701010,140301,22,EACH,7.16,157.52
627023,15,701010,150401,22,EACH,11.02,242.44
627023,16,701010,140302,24,EACH,7.58,181.92
627023,16,701010,150402,20,EACH,11.56,231.2
627023,17,701010,140303,23,EACH,7.97,183.31
627023,17,701010,150403,20,EACH,12.29,245.8
627023,18,701010,140304,25,EACH,8.56,214
627023,18,701010,150404,21,EACH,12.59,264.39
627023,19,701010,140305,24,EACH,8.55,205.2
627023,19,701010,150405,18,EACH,12.81,230.58
627023,20,701010,140306,24,EACH,8.97,215.28
627023,20,701010,150406,18,EACH,13.55,243.9
627023,21,701010,140307,21,EACH,9.62,202.02
627023,21,701010,150407,19,EACH,14.58,277.02
627023,22,701010,140401,22,EACH,7.24,159.28
627023,22,701010,150501,20,EACH,10.96,219.2
627023,23,701010,140402,23,EACH,7.79,179.17
627023,23,701010,150502,19,EACH,11.12,211.28
627023,24,701010,140403,23,EACH,7.87,181.01
627023,24,701010,150503,21,EACH,11.99,251.79
627023,25,701010,140404,24,EACH,8.28,198.72
627023,25,701010,150504,21,EACH,12.54,263.34
627023,26,701010,140405,25,EACH,8.35,208.75
627023,26,701010,150505,19,EACH,13.84,262.96
627023,27,701010,140406,24,EACH,9.37,224.88
627023,27,701010,150506,18,EACH,14.41,259.38
627023,28,701010,140407,22,EACH,9.50,209
627023,28,701010,150507,20,EACH,13.94,278.8
627023,29,701010,140501,25,EACH,7.03,175.75
627023,30,701010,140502,25,EACH,7.79,194.75
627023,31,701010,140503,23,EACH,8.07,185.61
627023,32,701010,140504,23,EACH,7.78,178.94
627023,33,701010,140505,25,EACH,8.75,218.75
627023,34,701010,140506,24,EACH,8.97,215.28
627023,35,701010,140507,21,EACH,9.08,190.68
817540,1,701010,150101,16,EACH,11.08,177.28
817540,1,701010,170101,13,EACH,9.34,121.42
817540,2,701010,150102,16,EACH,11.08,177.28
817540,2,701010,170102,12,EACH,9.26,111.12
817540,3,701010,150103,14,EACH,12.11,169.54
817540,3,701010,170103,11,EACH,9.98,109.78
817540,4,701010,150104,15,EACH,12.59,188.85
817540,4,701010,170104,11,EACH,10.46,115.06
817540,5,701010,150105,14,EACH,13.05,182.7
817540,5,701010,170105,12,EACH,10.78,129.36
817540,6,701010,150106,15,EACH,12.81,192.15
817540,6,701010,170106,14,EACH,10.85,151.9
817540,7,701010,150107,14,EACH,14.32,200.48
817540,7,701010,170107,13,EACH,11.75,152.75
817540,8,701010,150301,16,EACH,10.47,167.52
817540,8,701010,170201,13,EACH,8.90,115.7
817540,9,701010,150302,14,EACH,11.32,158.48
817540,9,701010,170202,12,EACH,9.57,114.84
817540,10,701010,150303,15,EACH,12.46,186.9
817540,10,701010,170203,12,EACH,10.08,120.96
817540,11,701010,150304,13,EACH,11.92,154.96
817540,11,701010,170204,13,EACH,10.33,134.29
817540,12,701010,150305,16,EACH,13.09,209.44
817540,12,701010,170205,12,EACH,10.78,129.36
817540,13,701010,150306,15,EACH,13.31,199.65
817540,13,701010,170206,12,EACH,11.13,133.56
817540,14,701010,150307,15,EACH,13.35,200.25
817540,14,701010,170207,13,EACH,11.92,154.96
817540,15,701010,150401,13,EACH,10.50,136.5
817540,15,701010,170301,12,EACH,8.88,106.56
817540,16,701010,150402,16,EACH,11.42,182.72
817540,16,701010,170302,13,EACH,9.69,125.97
817540,17,701010,150403,13,EACH,11.92,154.96
817540,17,701010,170303,12,EACH,10.20,122.4
817540,18,701010,150404,16,EACH,12.81,204.96
817540,18,701010,170304,12,EACH,10.44,125.28
817540,19,701010,150405,14,EACH,13.23,185.22
817540,19,701010,170305,12,EACH,10.54,126.48
817540,20,701010,150406,14,EACH,13.70,191.8
817540,20,701010,170306,13,EACH,11.73,152.49
817540,21,701010,150407,15,EACH,14.19,212.85
817540,21,701010,170307,13,EACH,12.53,162.89
817540,22,701010,150501,15,EACH,10.72,160.8
817540,22,701010,170401,12,EACH,9.12,109.44
817540,23,701010,150502,16,EACH,11.31,180.96
817540,23,701010,170402,13,EACH,9.50,123.5
817540,24,701010,150503,15,EACH,11.81,177.15
817540,24,701010,170403,13,EACH,10.33,134.29
817540,25,701010,150504,16,EACH,12.06,192.96
817540,25,701010,170404,13,EACH,10.76,139.88
817540,26,701010,150505,14,EACH,13.50,189
817540,26,701010,170405,13,EACH,10.35,134.55
817540,27,701010,150506,15,EACH,13.98,209.7
817540,27,701010,170406,12,EACH,11.05,132.6
817540,28,701010,150507,14,EACH,13.89,194.46
817540,28,701010,170407,13,EACH,12.25,159.25
894032,1,701010,110101,16,EACH,7.71,123.36
894032,1,701010,130101,18,3PACK,9.25,166.5
894032,2,701010,110102,15,EACH,7.83,117.45
894032,2,701010,130102,18,3PACK,9.62,173.16
894032,3,701010,110103,14,EACH,8.27,115.78
894032,3,701010,130103,18,3PACK,9.76,175.68
894032,4,701010,110104,13,EACH,8.78,114.14
894032,4,701010,130104,15,3PACK,10.73,160.95
894032,5,701010,110105,14,EACH,8.96,125.44
894032,5,701010,130105,16,3PACK,10.53,168.48
894032,6,701010,110106,16,EACH,9.83,157.28
894032,6,701010,130106,18,3PACK,12.14,218.52
894032,7,701010,110107,16,EACH,9.35,149.6
894032,7,701010,130107,18,3PACK,12.24,220.32
894032,8,701010,110201,15,EACH,7.66,114.9
894032,8,701010,130201,16,3PACK,8.94,143.04
894032,9,701010,110202,16,EACH,8.10,129.6
894032,9,701010,130202,17,3PACK,9.36,159.12
894032,10,701010,110203,16,EACH,8.88,142.08
894032,10,701010,130203,18,3PACK,10.51,189.18
894032,11,701010,110204,14,EACH,8.95,125.3
894032,11,701010,130204,16,3PACK,10.42,166.72
894032,12,701010,110205,15,EACH,9.38,140.7
894032,12,701010,130205,17,3PACK,11.00,187
894032,13,701010,110206,15,EACH,9.41,141.15
894032,13,701010,130206,15,3PACK,11.12,166.8
894032,14,701010,110207,16,EACH,9.79,156.64
894032,14,701010,130207,18,3PACK,12.61,226.98
894032,15,701010,110301,14,EACH,7.67,107.38
894032,15,701010,130301,17,3PACK,9.14,155.38
894032,16,701010,110302,15,EACH,8.02,120.3
894032,16,701010,130302,18,3PACK,9.53,171.54
894032,17,701010,110303,14,EACH,8.67,121.38
894032,17,701010,130303,16,3PACK,9.75,156
894032,18,701010,110304,15,EACH,8.88,133.2
894032,18,701010,130304,16,3PACK,10.30,164.8
894032,19,701010,110305,15,EACH,9.05,135.75
894032,19,701010,130305,16,3PACK,10.88,174.08
894032,20,701010,110306,14,EACH,9.36,131.04
894032,20,701010,130306,16,3PACK,11.88,190.08
894032,21,701010,110307,15,EACH,9.84,147.6
894032,21,701010,130307,15,3PACK,12.66,189.9
894032,22,701010,110401,13,EACH,7.74,100.62
894032,22,701010,130401,16,3PACK,8.98,143.68
894032,23,701010,110402,15,EACH,8.31,124.65
894032,23,701010,130402,16,3PACK,9.38,150.08
894032,24,701010,110403,15,EACH,8.30,124.5
894032,24,701010,130403,16,3PACK,10.31,164.96
894032,25,701010,110404,16,EACH,8.73,139.68
894032,25,701010,130404,18,3PACK,10.87,195.66
894032,26,701010,110405,14,EACH,9.21,128.94
894032,26,701010,130405,17,3PACK,10.31,175.27
894032,27,701010,110406,15,EACH,9.68,145.2
894032,27,701010,130406,18,3PACK,11.76,211.68
894032,28,701010,110407,15,EACH,9.87,148.05
894032,28,701010,130407,17,3PACK,11.58,196.86
894032,29,701010,110501,15,EACH,7.68,115.2
894032,29,701010,130501,18,3PACK,9.18,165.24
894032,30,701010,110502,14,EACH,8.38,117.32
894032,30,701010,130502,18,3PACK,9.62,173.16
894032,31,701010,110503,13,EACH,8.66,112.58
894032,31,701010,130503,16,3PACK,10.11,161.76
894032,32,701010,110504,14,EACH,8.71,121.94
894032,32,701010,130504,19,3PACK,10.54,200.26
894032,33,701010,110505,15,EACH,9.09,136.35
894032,33,701010,130505,18,3PACK,11.54,207.72
894032,34,701010,110506,15,EACH,9.14,137.1
894032,34,701010,130506,19,3PACK,11.70,222.3
894032,35,701010,110507,14,EACH,10.44,146.16
894032,35,701010,130507,19,3PACK,11.39,216.41
1168508,1,701010,150101,18,EACH,11.06,199.08
1168508,1,701010,210101,11,EACH,4.01,44.11
1168508,2,701010,150102,17,EACH,10.90,185.3
1168508,2,701010,210102,12,EACH,4.20,50.4
1168508,3,701010,150103,20,EACH,12.30,246
