Invoice Number,Customer ID,Ship To ID,Salesperson ID,Order Number,Customer PO Number,Order Date,Requested Ship Date,Promised Ship Date,Actual Ship Date,Invoice Date,Invoice Discount %
9251,101073,230731,401020,38003,21559,1/6/2014,1/25/2014,1/28/2014,1/28/2014,1/28/2014,0
9487,101096,220512,401027,39008,22114,3/30/2014,4/4/2014,5/1/2014,5/1/2014,5/1/2014,0
9727,101044,220391,401051,40003,22683,11/29/2014,12/27/2014,12/31/2014,12/31/2014,12/31/2014,0
9979,101069,230698,401023,41003,23259,7/22/2013,8/5/2013,8/25/2013,8/25/2013,8/25/2013,0.15
10220,101085,230805,401044,42010,23825,7/24/2014,8/2/2014,9/12/2014,9/12/2014,9/12/2014,0.15
10451,101133,210168,401028,43009,24384,6/7/2014,6/7/2014,6/21/2014,6/21/2014,6/21/2014,0.15
10697,101085,230793,401044,44007,24961,10/14/2014,11/7/2014,12/14/2014,12/14/2014,12/14/2014,0.15
11191,101025,220311,401003,46009,26087,10/31/2014,11/28/2014,12/31/2014,12/31/2014,12/31/2014,0
11436,101069,230697,401023,47009,26660,4/9/2013,5/6/2013,5/14/2013,5/14/2013,5/14/2013,0
11669,101027,210036,401028,48008,27218,4/24/2014,5/21/2014,5/26/2014,5/26/2014,5/26/2014,0.15
11917,101034,230598,401032,49001,27785,1/23/2014,2/4/2014,2/14/2014,2/14/2014,2/14/2014,0
12153,101031,230556,401035,50009,28356,2/18/2013,2/26/2013,3/21/2013,3/21/2013,3/21/2013,0
12407,101098,220528,401057,51006,28918,11/10/2014,12/3/2014,12/31/2014,12/31/2014,12/31/2014,0
12656,101176,210229,401019,52002,29493,9/5/2013,9/18/2013,9/19/2013,9/19/2013,9/19/2013,0
12882,101070,220441,401057,53001,30064,2/9/2014,2/14/2014,3/5/2014,3/5/2014,3/5/2014,0
13132,101083,210102,401055,54001,30627,10/16/2014,10/22/2014,11/19/2014,11/19/2014,11/19/2014,0
13379,101034,230625,401032,55002,31194,10/29/2013,11/10/2013,11/15/2013,11/15/2013,11/15/2013,0.15
13616,101037,210044,401007,56003,31759,5/18/2014,6/3/2014,7/12/2014,7/12/2014,7/12/2014,0
14340,101107,210129,401049,59004,33464,1/19/2014,2/3/2014,2/11/2014,2/11/2014,2/11/2014,0
15086,101073,230734,401020,62001,35155,12/3/2013,12/3/2013,12/24/2013,12/24/2013,12/24/2013,0.15
15313,101031,230572,401035,63003,35730,1/11/2014,1/11/2014,2/11/2014,2/11/2014,2/11/2014,0.15
16057,101096,220514,401027,66005,37432,12/17/2013,1/8/2014,2/8/2014,2/8/2014,2/8/2014,0
16296,101044,220403,401051,67001,37997,9/4/2014,10/3/2014,10/6/2014,10/6/2014,10/7/2014,0
16535,101034,230607,401032,68006,38565,12/20/2012,1/15/2013,2/20/2013,2/20/2013,2/20/2013,0
16779,101004,220299,401030,69004,39130,12/16/2012,1/5/2013,2/4/2013,2/4/2013,2/4/2013,0
17028,101073,230745,401020,70009,39702,10/12/2014,10/15/2014,10/31/2014,10/31/2014,10/31/2014,0
17255,101069,230649,401023,71009,40261,7/19/2014,7/24/2014,9/5/2014,9/5/2014,9/5/2014,0
17507,101001,210001,401043,72003,40836,1/23/2014,2/13/2014,2/22/2014,2/22/2014,2/22/2014,0
17752,101069,230654,401023,73003,41403,8/7/2014,8/10/2014,9/21/2014,9/21/2014,9/21/2014,0
18001,101065,220416,401051,74007,41959,12/25/2013,12/27/2013,1/15/2014,1/15/2014,1/15/2014,0
18242,101073,230720,401020,75007,42526,10/2/2014,10/15/2014,10/22/2014,10/22/2014,10/22/2014,0.15
18479,101073,230737,401020,76007,43103,9/1/2014,9/17/2014,10/26/2014,10/26/2014,10/28/2014,0
18965,101086,220481,401021,78002,44233,4/1/2014,4/15/2014,5/8/2014,5/8/2014,5/8/2014,0
19199,101090,230862,401059,79006,44797,9/24/2013,10/13/2013,11/15/2013,11/15/2013,11/15/2013,0
19457,101085,230772,401044,80005,45367,8/29/2013,9/21/2013,9/22/2013,9/22/2013,9/22/2013,0
19696,101073,230742,401020,81009,45936,10/26/2013,10/29/2013,11/15/2013,11/15/2013,11/15/2013,0
19928,101085,230777,401044,82004,46504,12/1/2013,12/30/2013,1/27/2014,1/27/2014,1/27/2014,0
20424,101090,230819,401059,84004,47629,10/2/2013,10/10/2013,11/15/2013,11/15/2013,11/15/2013,0.03
20659,101164,210212,401043,85009,48197,8/23/2014,9/10/2014,10/5/2014,10/5/2014,10/5/2014,0
20908,101073,230728,401020,86002,48767,6/14/2014,6/21/2014,7/6/2014,7/6/2014,7/6/2014,0
21155,101034,230632,401032,87006,49340,4/27/2013,5/15/2013,6/18/2013,6/18/2013,6/18/2013,0
21394,101034,230617,401032,88001,49904,12/28/2013,1/15/2014,1/25/2014,1/25/2014,1/25/2014,0
21634,101045,210054,401004,89005,50471,4/22/2014,5/4/2014,5/16/2014,5/16/2014,5/16/2014,0
21875,101065,220420,401051,90001,51034,8/4/2013,8/4/2013,8/26/2013,8/26/2013,8/26/2013,0
22118,101090,230874,401059,91008,51602,7/20/2013,8/18/2013,8/30/2013,8/30/2013,8/30/2013,0
22370,101085,230801,401044,92007,52175,3/3/2014,3/3/2014,3/31/2014,3/31/2014,3/31/2014,0
22607,101073,230743,401020,93005,52742,4/22/2014,5/1/2014,6/7/2014,6/7/2014,6/9/2014,0
22855,101188,210245,401019,94001,53303,4/21/2013,4/23/2013,5/6/2013,5/6/2013,5/6/2013,0.15
23091,101172,210223,401046,95006,53868,12/14/2013,1/6/2014,1/12/2014,1/12/2014,1/14/2014,0
23346,101034,230613,401032,96005,54441,4/11/2013,4/24/2013,4/28/2013,4/28/2013,4/28/2013,0
23829,101065,220421,401051,98004,55576,3/4/2013,3/17/2013,4/13/2013,4/13/2013,4/17/2013,0
24072,101193,210252,401049,99007,56141,2/10/2014,2/21/2014,4/1/2014,4/1/2014,4/1/2014,0.06
24317,101082,220456,401030,100009,56701,2/22/2013,3/3/2013,3/9/2013,3/9/2013,3/9/2013,0.15
24791,101183,210237,401034,102008,57845,3/21/2014,4/14/2014,5/8/2014,5/8/2014,5/8/2014,0.15
25041,101082,220446,401030,103003,58413,6/22/2014,7/11/2014,8/14/2014,8/14/2014,8/14/2014,0
25290,101061,210076,401046,104004,58981,5/14/2014,5/15/2014,5/21/2014,5/21/2014,5/21/2014,0.15
25532,101039,210045,401007,105007,59546,1/29/2014,1/31/2014,3/11/2014,3/11/2014,3/11/2014,0
25769,101062,210078,401019,106006,60108,10/27/2013,11/8/2013,11/20/2013,11/20/2013,11/20/2013,0
26016,101089,210106,401052,107004,60677,2/22/2014,3/4/2014,4/13/2014,4/13/2014,4/13/2014,0
26258,101086,220477,401021,108004,61241,6/27/2014,6/28/2014,8/4/2014,8/4/2014,8/4/2014,0
26499,101031,230544,401035,109006,61812,4/23/2013,4/29/2013,6/4/2013,6/4/2013,6/4/2013,0
26748,101031,230576,401035,110003,62372,12/31/2013,1/21/2014,2/10/2014,2/12/2014,2/12/2014,0
26981,101085,230797,401044,111003,62939,10/23/2014,11/20/2014,12/6/2014,12/6/2014,12/6/2014,0
27716,101069,230647,401023,114006,64644,12/7/2012,1/1/2013,1/21/2013,1/21/2013,1/25/2013,0
27957,101002,220278,401036,115007,65217,4/19/2014,5/1/2014,5/6/2014,5/6/2014,5/6/2014,0
28202,101154,210198,401004,116005,65781,11/13/2013,12/11/2013,1/23/2014,1/23/2014,1/23/2014,0
28436,101090,230843,401059,117010,66344,7/11/2014,8/6/2014,8/7/2014,8/7/2014,8/7/2014,0
28688,101076,210094,401058,118006,66915,12/18/2013,1/10/2014,2/18/2014,2/18/2014,2/18/2014,0
28932,101002,220269,401036,119002,67483,8/8/2014,8/17/2014,8/24/2014,8/24/2014,8/24/2014,0
29411,101069,230701,401023,121002,68608,6/9/2014,6/12/2014,7/4/2014,7/4/2014,7/4/2014,0
29650,101034,230639,401032,122005,69179,11/4/2013,11/6/2013,11/23/2013,11/23/2013,11/23/2013,0
29897,101069,230699,401023,123004,69749,2/23/2014,3/24/2014,4/6/2014,4/6/2014,4/6/2014,0
30146,101005,210004,401034,124010,70316,6/24/2013,7/15/2013,8/10/2013,8/10/2013,8/10/2013,0
30389,101099,210116,401061,125001,70878,9/3/2014,9/6/2014,10/12/2014,10/18/2014,10/18/2014,0
30862,101025,220317,401003,127009,72021,2/5/2014,2/19/2014,2/19/2014,2/19/2014,2/19/2014,0
31363,101093,220492,401045,129006,73149,6/21/2014,7/8/2014,7/25/2014,7/25/2014,7/25/2014,0.15
31603,101073,230716,401020,130001,73718,8/8/2013,8/11/2013,8/30/2013,8/30/2013,8/30/2013,0
31847,101069,230648,401023,131010,74278,7/24/2014,7/27/2014,8/7/2014,8/7/2014,8/7/2014,0
32078,101073,230745,401020,132004,74845,10/1/2014,10/5/2014,10/16/2014,10/16/2014,10/16/2014,0
32823,101170,210221,401049,135001,76552,1/25/2013,2/7/2013,3/20/2013,3/20/2013,3/20/2013,0
33067,101090,230817,401059,136001,77119,12/2/2013,12/21/2013,12/28/2013,12/28/2013,12/28/2013,0
33298,101034,230628,401032,137009,77682,12/22/2013,12/23/2013,1/27/2014,1/27/2014,1/27/2014,0.15
33550,101044,220401,401051,138009,78255,10/5/2014,10/11/2014,11/14/2014,11/14/2014,11/14/2014,0
33783,101090,230859,401059,139001,78816,9/30/2013,10/20/2013,11/25/2013,11/25/2013,11/25/2013,0
34028,101140,210179,401019,140007,79387,1/6/2013,1/26/2013,2/20/2013,2/20/2013,2/20/2013,0
34761,101096,220514,401027,143007,81088,10/5/2014,11/2/2014,12/11/2014,12/11/2014,12/15/2014,0
34994,101090,230824,401059,144007,81652,11/27/2014,12/4/2014,12/10/2014,12/10/2014,12/10/2014,0
35243,101069,230648,401023,145003,82220,1/3/2013,1/27/2013,2/7/2013,2/7/2013,2/7/2013,0.15
35496,101090,230840,401059,146006,82794,5/2/2014,5/18/2014,6/30/2014,6/30/2014,6/30/2014,0
35729,101004,220286,401030,147002,83353,1/16/2014,1/17/2014,2/27/2014,2/27/2014,2/27/2014,0
35967,101069,230666,401023,148005,83920,8/6/2014,8/16/2014,9/19/2014,9/19/2014,9/19/2014,0.15
36215,101096,220504,401027,149006,84491,3/19/2014,4/9/2014,4/30/2014,4/30/2014,4/30/2014,0.15
36949,101090,230816,401059,152002,86185,1/23/2014,2/14/2014,2/22/2014,2/22/2014,2/22/2014,0
37195,101002,220270,401036,153009,86760,3/25/2014,4/7/2014,4/16/2014,4/16/2014,4/16/2014,0
37685,101093,220496,401045,155008,87897,4/18/2014,5/6/2014,6/15/2014,6/15/2014,6/16/2014,0.15
37916,101073,230723,401020,156005,88459,5/14/2013,6/3/2013,6/26/2013,6/26/2013,6/26/2013,0
38169,101034,230634,401032,157003,89025,10/1/2014,10/7/2014,11/2/2014,11/2/2014,11/2/2014,0
38414,101073,230720,401020,158002,89590,11/2/2014,11/29/2014,12/12/2014,12/12/2014,12/12/2014,0
38657,101057,210070,401055,159006,90162,12/14/2013,1/2/2014,1/26/2014,1/26/2014,1/26/2014,0
38884,101090,230849,401059,160006,90722,5/16/2013,6/12/2013,7/6/2013,7/6/2013,7/6/2013,0
39138,101069,230688,401023,161010,91295,2/15/2013,3/14/2013,4/22/2013,4/22/2013,4/22/2013,0
39369,101191,210250,401046,162006,91856,1/13/2013,1/23/2013,2/22/2013,2/22/2013,2/22/2013,0
39627,101035,220359,401063,163007,92424,7/30/2013,8/28/2013,10/6/2013,10/6/2013,10/6/2013,0.15
39861,101090,230847,401059,164007,92993,7/22/2013,8/6/2013,9/7/2013,9/7/2013,9/7/2013,0
40344,101085,230758,401044,166008,94131,6/22/2013,7/12/2013,8/19/2013,8/19/2013,8/19/2013,0
40597,101086,220470,401021,167001,94694,1/1/2013,1/29/2013,2/26/2013,2/26/2013,2/26/2013,0
40834,101127,210159,401019,168006,95262,2/6/2014,2/7/2014,3/13/2014,3/13/2014,3/13/2014,0
41070,101093,220495,401045,169009,95828,7/7/2013,8/5/2013,9/13/2013,9/13/2013,9/13/2013,0
41318,101071,210087,401049,170004,96397,6/9/2013,6/25/2013,7/13/2013,7/13/2013,7/16/2013,0
41558,101069,230671,401023,171009,96967,4/5/2013,4/16/2013,5/14/2013,5/14/2013,5/14/2013,0.15
41802,101065,220423,401051,172002,97537,12/8/2013,12/30/2013,12/31/2013,12/31/2013,12/31/2013,0.15
42054,101004,220293,401030,173006,98094,5/1/2013,5/22/2013,7/2/2013,7/2/2013,7/2/2013,0
42283,101069,230655,401023,174005,98669,11/1/2013,11/20/2013,12/31/2013,12/31/2013,12/31/2013,0
42543,101093,220493,401045,175002,99227,3/14/2013,4/1/2013,4/30/2013,4/30/2013,4/30/2013,0
42787,101034,230607,401032,176009,99800,4/28/2013,5/1/2013,5/25/2013,5/25/2013,5/26/2013,0.08
43269,101138,210175,401004,178006,100939,9/16/2013,9/26/2013,11/2/2013,11/10/2013,11/10/2013,0
43507,101085,230767,401044,179009,101504,9/28/2014,10/4/2014,11/2/2014,11/2/2014,11/2/2014,0
43742,101069,230655,401023,180003,102063,1/6/2014,1/16/2014,1/18/2014,1/18/2014,1/18/2014,0.06
43998,101176,210229,401019,181004,102638,2/12/2014,2/19/2014,2/28/2014,2/28/2014,2/28/2014,0.15
44232,101102,210122,401028,182007,103198,9/11/2013,9/24/2013,10/28/2013,10/28/2013,10/28/2013,0
44471,101073,230754,401020,183003,103772,6/15/2014,6/25/2014,8/2/2014,8/2/2014,8/2/2014,0
44718,101031,230577,401035,184008,104335,4/1/2013,4/22/2013,5/5/2013,5/5/2013,5/5/2013,0
45206,101112,210137,401046,186007,105471,6/23/2014,7/6/2014,7/17/2014,7/17/2014,7/17/2014,0.15
45456,101004,220286,401030,187003,106032,6/9/2013,6/20/2013,7/11/2013,7/11/2013,7/11/2013,0
45690,101030,220333,401021,188001,106601,6/9/2013,6/24/2013,8/6/2013,8/6/2013,8/6/2013,0
46189,101059,210073,401052,190006,107734,10/5/2013,10/24/2013,10/30/2013,10/30/2013,10/30/2013,0
46420,101096,220510,401027,191001,108310,10/8/2014,10/9/2014,11/11/2014,11/11/2014,11/11/2014,0
46659,101064,210081,401055,192007,108868,1/21/2013,1/29/2013,2/2/2013,2/2/2013,2/2/2013,0.15
46901,101163,210210,401058,193003,109444,3/6/2014,3/27/2014,4/1/2014,4/2/2014,4/2/2014,0
47161,101021,210030,401043,194009,110001,9/21/2014,9/26/2014,10/20/2014,10/20/2014,10/20/2014,0.15
47391,101184,210239,401046,195002,110568,8/25/2013,9/1/2013,9/20/2013,9/20/2013,9/20/2013,0
47642,101070,220432,401057,196004,111141,12/1/2013,12/30/2013,1/13/2014,1/13/2014,1/13/2014,0
47881,101085,230763,401044,197001,111706,11/25/2013,12/14/2013,1/18/2014,1/18/2014,1/18/2014,0
48365,101018,210026,401034,199003,112836,3/30/2014,4/13/2014,4/17/2014,4/17/2014,4/17/2014,0
48863,101198,210259,401007,201002,113972,9/5/2013,9/28/2013,10/17/2013,10/17/2013,10/17/2013,0
49103,101065,220421,401051,202005,114538,10/24/2014,11/10/2014,11/10/2014,11/10/2014,11/10/2014,0.06
49335,101032,210041,401055,203006,115107,2/16/2013,3/9/2013,4/2/2013,4/2/2013,4/2/2013,0
49585,101002,220269,401036,204010,115675,5/4/2013,5/17/2013,5/30/2013,5/30/2013,5/30/2013,0
49824,101068,210086,401028,205005,116237,11/26/2014,12/16/2014,12/31/2014,12/31/2014,12/31/2014,0.15
50067,101198,210259,401007,206007,116810,8/28/2014,9/4/2014,9/4/2014,9/4/2014,9/4/2014,0.15
50320,101186,210242,401034,207006,117382,2/3/2014,2/9/2014,2/21/2014,2/21/2014,2/21/2014,0
50564,101069,230650,401023,208001,117942,9/16/2013,10/14/2013,10/23/2013,10/23/2013,10/23/2013,0
50796,101033,220348,401021,209009,118507,4/13/2013,4/24/2013,4/26/2013,4/26/2013,4/26/2013,0
51036,101129,210162,401028,210010,119079,2/15/2013,2/21/2013,3/26/2013,3/26/2013,3/26/2013,0
51289,101002,220269,401036,211005,119648,6/25/2013,7/17/2013,7/20/2013,7/20/2013,7/20/2013,0
51517,101090,230865,401059,212003,120205,7/12/2014,7/27/2014,8/31/2014,8/31/2014,8/31/2014,0
51770,101033,220343,401021,213010,120775,12/21/2013,1/5/2014,1/14/2014,1/14/2014,1/14/2014,0
52009,101096,220511,401027,214002,121342,1/29/2014,1/30/2014,2/9/2014,2/9/2014,2/9/2014,0
52264,101073,230719,401020,215009,121915,1/26/2013,2/22/2013,3/11/2013,3/11/2013,3/11/2013,0
52506,101030,220324,401021,216007,122482,3/30/2013,3/30/2013,5/2/2013,5/2/2013,5/2/2013,0.15
52983,101090,230838,401059,218001,123609,5/29/2014,6/11/2014,6/17/2014,6/17/2014,6/17/2014,0.15
53227,101090,230830,401059,219006,124186,3/22/2014,4/15/2014,4/21/2014,4/21/2014,4/24/2014,0
53462,101090,230835,401059,220004,124753,9/11/2014,10/2/2014,11/2/2014,11/2/2014,11/2/2014,0
53949,101086,220478,401021,222005,125882,11/23/2014,11/29/2014,12/9/2014,12/9/2014,12/9/2014,0
54193,101065,220419,401051,223010,126445,10/9/2014,10/26/2014,11/1/2014,11/1/2014,11/1/2014,0.13
54452,101034,230634,401032,224009,127017,6/20/2014,6/23/2014,7/28/2014,7/28/2014,7/31/2014,0
54679,101090,230870,401059,225005,127577,4/11/2013,4/22/2013,5/30/2013,5/30/2013,5/30/2013,0
55657,101082,220447,401030,229003,129851,4/30/2013,4/30/2013,6/11/2013,6/11/2013,6/11/2013,0.15
55910,101031,230588,401035,230003,130420,8/25/2013,9/18/2013,10/3/2013,10/3/2013,10/3/2013,0.15
56135,101085,230761,401044,231010,130989,6/3/2014,6/26/2014,7/17/2014,7/17/2014,7/17/2014,0
56634,101153,210196,401055,233008,132123,8/2/2013,8/17/2013,9/17/2013,9/17/2013,9/17/2013,0
56869,101031,230572,401035,234004,132683,12/1/2013,12/1/2013,12/11/2013,12/11/2013,12/11/2013,0
57349,101093,220486,401045,236010,133813,9/27/2013,10/1/2013,11/7/2013,11/7/2013,11/7/2013,0
57840,101093,220492,401045,238005,134956,7/17/2013,8/10/2013,9/12/2013,9/12/2013,9/12/2013,0
58097,101086,220475,401021,239001,135519,6/16/2013,7/15/2013,8/25/2013,8/25/2013,8/25/2013,0
58330,101034,230619,401032,240005,136082,4/3/2014,4/16/2014,4/18/2014,4/18/2014,4/18/2014,0
58565,101085,230812,401044,241007,136649,3/31/2014,4/20/2014,6/2/2014,6/2/2014,6/2/2014,0
58822,101102,210123,401028,242001,137216,3/15/2013,4/13/2013,5/26/2013,5/26/2013,5/26/2013,0
59062,101186,210243,401034,243010,137790,4/17/2014,4/27/2014,5/4/2014,5/4/2014,5/4/2014,0
59298,101169,210219,401013,244006,138351,4/27/2013,5/26/2013,6/3/2013,6/3/2013,6/3/2013,0.15
59541,101069,230676,401023,245009,138916,7/11/2013,8/6/2013,9/2/2013,9/2/2013,9/2/2013,0.13
60031,101034,230634,401032,247006,140053,12/29/2013,1/6/2014,1/23/2014,1/23/2014,1/23/2014,0
60271,101151,210193,401028,248006,140622,8/13/2014,9/2/2014,10/1/2014,10/1/2014,10/1/2014,0
60508,101073,230742,401020,249003,141184,3/5/2014,3/5/2014,4/8/2014,4/8/2014,4/8/2014,0
60758,101090,230826,401059,250007,141753,6/27/2014,7/23/2014,8/20/2014,8/20/2014,8/20/2014,0.12
61006,101034,230600,401032,251008,142318,7/28/2014,8/17/2014,9/24/2014,9/24/2014,9/24/2014,0
61255,101090,230857,401059,252005,142887,11/25/2014,12/15/2014,12/20/2014,12/20/2014,12/20/2014,0
61734,101031,230593,401035,254002,144025,12/19/2013,1/8/2014,1/28/2014,1/28/2014,1/28/2014,0
61972,101069,230657,401023,255002,144590,5/11/2014,6/7/2014,6/13/2014,6/13/2014,6/13/2014,0.15
62227,101007,210008,401049,256006,145153,7/3/2014,7/14/2014,8/3/2014,8/12/2014,8/12/2014,0
62466,101068,210086,401028,257006,145728,1/2/2013,1/11/2013,2/14/2013,2/21/2013,2/21/2013,0
62701,101090,230844,401059,258006,146293,3/10/2014,3/23/2014,4/29/2014,4/29/2014,4/29/2014,0
62943,101069,230648,401023,259003,146865,7/1/2014,7/27/2014,9/2/2014,9/2/2014,9/2/2014,0.15
63681,101069,230699,401023,262010,148562,11/13/2014,12/12/2014,12/31/2014,12/31/2014,12/31/2014,0
63918,101085,230770,401044,263002,149129,11/11/2013,11/29/2013,12/6/2013,12/6/2013,12/6/2013,0
64156,101086,220475,401021,264007,149696,12/25/2012,1/1/2013,1/8/2013,1/8/2013,1/8/2013,0
64403,101004,220294,401030,265004,150264,1/31/2014,2/7/2014,2/27/2014,2/27/2014,2/27/2014,0
64900,101004,220288,401030,267003,151398,10/3/2013,10/28/2013,11/18/2013,11/18/2013,11/18/2013,0
65125,101041,210048,401004,268003,151966,7/22/2014,8/14/2014,9/20/2014,9/20/2014,9/20/2014,0.07
65369,101069,230680,401023,269007,152532,11/16/2013,11/26/2013,1/1/2014,1/1/2014,1/1/2014,0.15
65871,101034,230629,401032,271003,153667,9/3/2013,9/5/2013,9/16/2013,9/16/2013,9/16/2013,0
66103,101085,230783,401044,272007,154235,12/14/2013,1/6/2014,1/15/2014,1/15/2014,1/15/2014,0
66340,101141,210180,401034,273010,154797,7/6/2014,7/31/2014,8/23/2014,8/23/2014,8/23/2014,0
66840,101035,220360,401063,275003,155936,2/20/2014,2/22/2014,3/21/2014,3/21/2014,3/21/2014,0
67076,101004,220296,401030,276001,156494,9/12/2013,9/13/2013,10/7/2013,10/7/2013,10/7/2013,0
67322,101030,220322,401021,277007,157063,11/23/2014,12/9/2014,12/27/2014,12/27/2014,12/27/2014,0
67555,101197,210258,401022,278001,157637,2/8/2014,2/12/2014,3/16/2014,3/16/2014,3/16/2014,0.06
67800,101075,210091,401046,279004,158198,4/18/2014,5/5/2014,5/10/2014,5/10/2014,5/10/2014,0.15
68534,101129,210161,401028,282001,159899,5/2/2014,5/24/2014,6/24/2014,6/24/2014,6/24/2014,0
68782,101044,220411,401051,283003,160464,11/29/2014,12/28/2014,12/31/2014,12/31/2014,12/31/2014,0
69510,101030,220326,401021,286004,162168,8/19/2013,9/4/2013,9/21/2013,9/21/2013,9/21/2013,0
69751,101035,220367,401063,287008,162733,7/21/2013,7/28/2013,9/10/2013,9/10/2013,9/10/2013,0
70000,101131,210164,401028,288010,163305,1/18/2014,2/7/2014,3/10/2014,3/10/2014,3/10/2014,0
70233,101181,210235,401055,289006,163871,3/29/2013,4/23/2013,6/4/2013,6/4/2013,6/4/2013,0
70723,101073,230732,401020,291008,165007,8/31/2013,9/12/2013,9/30/2013,9/30/2013,9/30/2013,0.15
70975,101049,210059,401028,292001,165574,10/11/2014,10/30/2014,11/19/2014,11/19/2014,11/19/2014,0.15
71204,101069,230664,401023,293006,166132,11/24/2014,12/5/2014,12/12/2014,12/12/2014,12/15/2014,0.15
71450,101002,220273,401036,294006,166702,3/17/2014,3/30/2014,5/2/2014,5/2/2014,5/2/2014,0
71687,101067,210084,401028,295008,167270,7/16/2014,7/31/2014,7/31/2014,7/31/2014,7/31/2014,0
71938,101033,220350,401021,296008,167842,1/22/2013,2/2/2013,3/18/2013,3/18/2013,3/18/2013,0
72173,101031,230548,401035,297006,168412,7/25/2013,8/22/2013,10/2/2013,10/2/2013,10/2/2013,0.15
72664,101031,230563,401035,299004,169534,2/9/2013,3/5/2013,3/27/2013,3/27/2013,3/27/2013,0.15
72909,101073,230752,401020,300010,170110,1/8/2014,1/24/2014,2/5/2014,2/5/2014,2/5/2014,0
73155,101119,210145,401052,301010,170678,4/18/2013,4/26/2013,5/3/2013,5/3/2013,5/3/2013,0
73399,101090,230875,401059,302004,171238,8/4/2013,8/8/2013,8/26/2013,8/26/2013,8/26/2013,0
73633,101034,230613,401032,303010,171802,2/25/2013,3/24/2013,4/30/2013,4/30/2013,4/30/2013,0
73881,101092,210110,401049,304007,172369,7/14/2014,7/16/2014,8/11/2014,8/11/2014,8/11/2014,0
74119,101034,230604,401032,305009,172943,10/18/2014,10/30/2014,11/14/2014,11/14/2014,11/14/2014,0
74363,101108,210131,401058,306007,173509,3/29/2014,4/2/2014,5/7/2014,5/7/2014,5/7/2014,0
74615,101092,210110,401049,307001,174074,4/27/2013,5/9/2013,5/9/2013,5/9/2013,5/9/2013,0
